Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD3_p300,CD3_media,CD4_p300,CD4_media,CD8_p300,CD8_media,CD4neg_CD8neg_p300,CD4neg_CD8neg_media,CD3neg_p300,CD3neg_media,CD4_aCD3_CD107a,CD4_p300_CD107a,CD4_media_CD107a,CD8_aCD3_CD107a,CD8_p300_CD107a,CD8_media_CD107a,CD4neg_CD8neg_aCD3_CD107a,CD4neg_CD8neg_p300_CD107a,CD4neg_CD8neg_media_CD107a,CD3neg_aCD3_CD107a,CD3neg_p300_CD107a,CD3neg_media_CD107a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media_IFNg,CD4neg_CD8neg_aCD3_IFNg,CD4neg_CD8neg_p300_IFNg,CD4neg_CD8neg_media_IFNg,CD3neg_aCD3_IFNg,CD3neg_p300_IFNg,CD3neg_media_IFNg,CD4_aCD3_IL-2,CD4_p300_IL-2,CD4_media_IL-2,CD8_aCD3_IL-2,CD8_p300_IL-2,CD8_media_IL-2,CD4neg_CD8neg_aCD3_IL-2,CD4neg_CD8neg_p300_IL-2,CD4neg_CD8neg_media_IL-2,CD3neg_aCD3_IL-2,CD3neg_p300_IL-2,CD3neg_media_IL-2,CD4_aCD3_IL-4,CD4_p300_IL-4,CD4_media_IL-4,CD8_aCD3_IL-4,CD8_p300_IL-4,CD8_media_IL-4,CD4neg_CD8neg_aCD3_IL-4,CD4neg_CD8neg_p300_IL-4,CD4neg_CD8neg_media_IL-4,CD3neg_aCD3_IL-4,CD3neg_p300_IL-4,CD3neg_media_IL-4,CD4_aCD3_IL-10,CD4_p300_IL-10,CD4_media_IL-10,CD8_aCD3_IL-10,CD8_p300_IL-10,CD8_media_IL-10,CD4neg_CD8neg_aCD3_IL-10,CD4neg_CD8neg_p300_IL-10,CD4neg_CD8neg_media_IL-10,CD3neg_aCD3_IL-10,CD3neg_p300_IL-10,CD3neg_meda_IL-10,CD4_aCD3_IL-17a,CD4_p300_IL-17a,CD4_media_IL-17a,CD8_aCD3_IL-17a,CD8_p300_IL-17a,CD8_media_IL-17a,CD4neg_CD8neg_aCD3_IL-17a,CD4neg_CD8neg_p300_IL-17a,CD4neg_CD8neg_media_IL-17a,CD3neg_aCD3_IL-17a,CD3neg_p300_IL-17a,CD3neg_media_IL-17a,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD8_aCD3_TNF,CD8_p300_TNF,CD8_media_TNF,CD4neg_CD8neg_aCD3_TNF,CD4neg_CD8neg_p300_TNF,CD4neg_CD8neg_media_TNF,CD3neg_aCD3_TNF,CD3neg_p300_TNF,CD3neg_media_TNF
CC032,RL-03,UNC,1,0,6.093421685,4.819543936,26672268.91,3093983.193,2232468.908,216045.3782,213378.1513,8668487.395,1069557.983,1522986.555,650803.3613,930862.1849,77349.57983,122692.437,266722.6891,400084.0336,1557660.504,2416507.563,154699.1597,56011.76471,69347.89916,160033.6134,12269.2437,22938.15126,,21071.09244,45342.85714,,1101564.706,1509650.42,256053.7815,34673.94958,18670.58824,138695.7983,10135.46218,1520.319328,,0,0,,130694.1176,7201.512605,29339.4958,4000.840336,7201.512605,3734.117647,874.8504202,506.7731092,,437.4252101,1520.319328,,11469.07563,13069.41176,2571.206723,1312.27563,4534.285714,0,0,0,,874.8504202,1013.546218,,6134.621849,12802.68908,26672.26891,3467.394958,5601.176471,6668.067227,4267.563025,5067.731092,,0,0,,21337.81513,5601.176471,32006.72269,5334.453782,6134.621849,4534.285714,1749.70084,2533.865546,,9068.571429,18670.58824,,29339.4958,25338.65546,61346.21849,13869.57983,17336.97479,24805.21008,5601.176471,7201.512605,,2184.458824,1520.319328,,98687.39496,53344.53782
CC032,RL-03,UNC,2,0,5.954242509,2.954242509,15882352.94,2239411.765,1620000,130235.2941,177882.3529,4558235.294,865588.2353,1124470.588,573352.9412,806823.5294,58764.70588,61941.17647,177882.3529,208058.8235,832235.2941,1176882.353,111176.4706,38117.64706,52411.76471,46058.82353,5241.176471,6511.764706,,9688.235294,13976.47059,,460588.2353,543176.4706,176294.1176,14770.58824,9211.764706,42882.35294,1411.941176,241.4117647,,0,241.4117647,,27000,3335.294118,28588.23529,1175.294118,1747.058824,4129.411765,235.0588235,482.8235294,,0,241.4117647,,5241.176471,3652.941176,0,470.1176471,1207.058824,0,235.0588235,482.8235294,,940.2352941,241.4117647,,3335.294118,2700,11911.76471,2382.352941,2858.823529,3652.941176,470.1176471,482.8235294,,0,0,,6352.941176,241.4117647,15882.35294,3017.647059,3335.294118,2382.352941,0,0,,5400,6352.941176,,8894.117647,3811.764706,22235.29412,8735.294118,10800,4764.705882,2541.176471,1448.470588,,940.2352941,724.2352941,,27000,14294.11765
CC032,RL-03,UNC,3,0,5.614193905,2.873126764,20420168.07,3451008.403,2613781.513,287924.3697,204201.6807,6861176.471,1443705.882,1682621.849,988336.1345,1151697.479,179697.479,204201.6807,200117.6471,261378.1513,1229294.118,1735714.286,91890.7563,38798.31933,40840.33613,112310.9244,15927.73109,10210.08403,,7147.058824,19807.56303,,600352.9412,759630.2521,122521.0084,13477.31092,11435.29412,81680.67227,7963.865546,0,,361.4369748,567.6806723,,36756.30252,6330.252101,20011.76471,5513.445378,6738.655462,2858.823529,1084.310924,1703.042017,,722.8739496,567.6806723,,8984.87395,13068.90756,2858.823529,722.8739496,1135.361345,0,722.8739496,567.6806723,,0,0,,2246.218487,1703.042017,14906.72269,2858.823529,3879.831933,6534.453782,2246.218487,567.6806723,,0,0,,6534.453782,1135.361345,18173.94958,1809.226891,2858.823529,3675.630252,1447.789916,0,,6942.857143,8576.470588,,6942.857143,3471.428571,38798.31933,7963.865546,3879.831933,19603.36134,6534.453782,4492.436975,,722.8739496,1135.361345,,36756.30252,15315.12605
CC032,RL-03,UNC,4,0,6.260071388,3.276461804,19820168.07,1429034.118,965242.1849,83244.70588,166489.4118,4598278.992,677849.7479,705597.9832,350816.9748,390457.3109,53514.45378,49550.42017,225949.916,227931.9328,792806.7227,945422.0168,97118.82353,41622.35294,57478.48739,53514.45378,9910.084034,10108.28571,,16054.33613,21802.18487,,551000.6723,642173.4454,81262.68908,7135.260504,1732.282689,51532.43697,6738.857143,3567.630252,,0,0,,12090.30252,8126.268908,11693.89916,1617.325714,315.1406723,782.8966387,0,157.3721345,,161.7325714,157.3721345,,3765.831933,1102.001345,1304.167059,969.2062185,943.44,652.0835294,323.0687395,630.2813445,,485.5941176,157.3721345,,2180.218487,3171.226891,6342.453782,2180.218487,1258.580672,2774.823529,1940.394454,943.44,,323.0687395,943.44,,1131.731597,0,7531.663866,2774.823529,1102.001345,1956.250588,808.6628571,315.1406723,,10504.68908,10702.89076,,5351.445378,5747.848739,12090.30252,6540.655462,1258.580672,7729.865546,3567.630252,786.8606723,,6540.655462,3765.831933,,18036.35294,8324.470588
CC032,RL-03,UNC,5,0,6.63748973,4.857332496,27418487.39,2878941.176,1872682.689,222089.7479,241282.6891,7128806.723,1104965.042,1614948.908,666269.2437,1036418.824,93222.85714,164510.9244,276926.7227,337247.395,830780.1681,1102223.193,230315.2941,65804.36975,101448.4034,123383.1933,19467.12605,20563.86555,,18918.7563,25499.19328,,479823.5294,575788.2353,381116.9748,30160.33613,7402.991597,120641.3445,13160.87395,8773.915966,,0,0,,38385.88235,12064.13445,15628.53782,26595.93277,1412.052101,0,5483.697479,0,,4386.957983,704.6551261,,27418.48739,2467.663866,0,259.3788908,0,0,518.2094118,353.6984874,,518.2094118,704.6551261,,2333.313277,5209.512605,11789.94958,6580.436975,1412.052101,7677.176471,4112.773109,1763.008739,,259.3788908,353.6984874,,4935.327731,0,23305.71429,6032.067227,2467.663866,3838.588235,1036.418824,353.6984874,,12612.5042,8773.915966,,6032.067227,6306.252101,23305.71429,15080.16807,353.6984874,7677.176471,5757.882353,0,,1036.418824,353.6984874,,35644.03361,4112.773109
CC032,RL-03,UNC,6,1,5.29666519,3.290034611,27544537.82,2974810.084,2198054.118,148740.5042,239637.479,8896885.714,1506686.218,1900573.109,892443.0252,1140343.866,118441.5126,157003.8655,415922.521,501310.5882,1451597.143,1738060.336,115687.0588,85388.06723,88142.52101,44071.2605,9916.033613,9365.142857,,23137.41176,27544.53782,,1148607.227,1096272.605,107423.6975,19832.06723,1974.943361,22861.96639,1564.529748,2467.990588,,0,0,,13221.37815,2467.990588,26718.20168,4407.12605,493.0472269,829.0905882,314.0077311,0,,1253.276471,0,,6610.689076,986.0944538,1107.29042,314.0077311,493.0472269,553.6452101,0,493.0472269,,625.2610084,493.0472269,,314.0077311,1479.141681,15424.94118,5233.462185,986.0944538,2490.026218,2192.54521,493.0472269,,314.0077311,493.0472269,,2754.453782,0,15975.83193,5233.462185,1479.141681,3029.89916,939.2687395,0,,11293.2605,15700.38655,,4958.016807,1479.141681,30298.9916,11293.2605,493.0472269,8263.361345,2506.552941,0,,1253.276471,493.0472269,,26442.7563,1974.943361
CC032,RL-03,UNC,7,1,5.037426498,3.15330662,28477310.92,4243119.328,3189458.824,316098.1513,361661.8487,10935287.39,1762745.546,2198448.403,1170417.479,1475124.706,153777.479,190797.9832,355966.3866,441398.3193,1984868.571,2369312.269,122452.437,62650.08403,85431.93277,79736.47059,11675.69748,15662.52101,,27053.44538,28192.53782,,1221676.639,1215981.176,182254.7899,34172.77311,1412.474622,37020.5042,3986.823529,2118.711933,,589.4803361,706.2373109,,31325.04202,4841.142857,34172.77311,6549.781513,1412.474622,643.5872269,589.4803361,0,,0,0,,8827.966387,3417.277311,0,589.4803361,0,1287.174454,0,0,,1178.960672,0,,1178.960672,2118.711933,25060.03361,6549.781513,4271.596639,5125.915966,589.4803361,2824.949244,,0,706.2373109,,8258.420168,0,31325.04202,8258.420168,6265.008403,3132.504202,0,1412.474622,,16516.84034,21073.21008,,6549.781513,16232.06723,59802.35294,21927.52941,1412.474622,14808.20168,6549.781513,0,,2357.921345,0,,42715.96639,2118.711933
CC032,RL-03,UNC,8,1,4.643452676,2.956648579,18050420.17,3086621.849,2220201.681,306857.1429,364618.4874,6028840.336,972917.6471,1171472.269,588443.6975,741872.2689,97472.26891,102887.395,245485.7143,285196.6387,1102880.672,1366416.807,99277.31092,34295.79832,70396.63866,75811.76471,6859.159664,12093.78151,,21660.5042,28880.67227,,657035.2941,741872.2689,110107.563,12454.78992,1346.561345,43321.0084,2707.563025,1796.016807,,0,0,,15523.36134,3971.092437,32490.7563,916.9613445,1346.561345,1985.546218,458.4806723,898.9109244,,458.4806723,1346.561345,,7400.672269,3610.084034,657.0352941,458.4806723,1346.561345,328.5176471,0,449.4554622,,0,449.4554622,,0,449.4554622,23465.54622,1373.636975,898.9109244,6317.647059,1805.042017,1346.561345,,458.4806723,449.4554622,,3610.084034,0,41515.96639,2346.554622,2707.563025,3610.084034,458.4806723,449.4554622,,10108.23529,16606.38655,,5415.12605,1796.016807,46931.09244,3249.07563,1346.561345,15162.35294,3249.07563,449.4554622,,2346.554622,898.9109244,,23465.54622,6317.647059
CC032,RL-03,UNC,9,1,4.643452676,1.812913357,19184873.95,2110336.134,1669084.034,132375.6303,161152.9412,5218285.714,1208647.059,1456131.933,742454.6218,966917.6471,107435.2941,65228.57143,297365.5462,364512.605,1429273.109,2033596.639,120864.7059,63310.08403,80576.47059,59473.10924,9400.588235,10359.83193,,23021.84874,44125.21008,,903607.563,1129989.076,101679.8319,11319.07563,3261.428571,26858.82353,2494.033613,0,,0,0,,8441.344538,3836.97479,30695.79832,3645.12605,3836.97479,1550.137815,274.3436975,642.6932773,,274.3436975,3836.97479,,9016.890756,16115.29412,258.9957983,2494.033613,1918.487395,775.0689076,274.3436975,0,,274.3436975,0,,274.3436975,1285.386555,15731.59664,5563.613445,1918.487395,2302.184874,1644.143697,1918.487395,,0,0,,1369.8,1918.487395,18801.17647,3836.97479,4412.521008,3069.579832,1095.456303,642.6932773,,9592.436975,23021.84874,,6522.857143,7673.94958,34532.77311,10743.52941,7673.94958,10359.83193,2685.882353,0,,2494.033613,0,,23021.84874,21103.36134
CC032,RL-03,UNC,10,1,5.127104798,2.290034611,23672268.91,1174144.538,639151.2605,33141.17647,298270.5882,9326873.95,1015540.336,1124432.773,357451.2605,426100.8403,35508.40336,17990.92437,525524.3697,598908.4034,2279639.496,2246498.319,156236.9748,63915.12605,89954.62185,54446.21849,8522.016807,4024.285714,,33141.17647,61547.89916,,1486618.487,1455844.538,213050.4202,33141.17647,7101.680672,37875.63025,1162.308403,781.1848739,,0,0,,35508.40336,4971.176471,33141.17647,6628.235294,3077.394958,1929.289916,232.4616807,0,,930.3201681,2345.921849,,22488.65546,10179.07563,2603.94958,3077.394958,1171.777311,0,232.4616807,0,,232.4616807,390.592437,,1394.296639,1171.777311,30773.94958,14203.36134,7338.403361,5207.89916,930.3201681,1564.736975,,232.4616807,390.592437,,6391.512605,1564.736975,40242.85714,12783.02521,8285.294118,3314.117647,232.4616807,0,,30773.94958,22962.10084,,20358.15126,8995.462185,68649.57983,30773.94958,22962.10084,13493.19328,3077.394958,1955.329412,,4497.731092,3077.394958,,56813.44538,47344.53782
