Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD3_p300,CD3_media,CD4_p300,CD4_media,CD8_p300,CD8_media,CD4neg_CD8neg_p300,CD4neg_CD8neg_media,CD3neg_p300,CD3neg_media,CD4_aCD3_CD107a,CD4_p300_CD107a,CD4_media_CD107a,CD8_aCD3_CD107a,CD8_p300_CD107a,CD8_media_CD107a,CD4neg_CD8neg_aCD3_CD107a,CD4neg_CD8neg_p300_CD107a,CD4neg_CD8neg_media_CD107a,CD3neg_aCD3_CD107a,CD3neg_p300_CD107a,CD3neg_media_CD107a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media_IFNg,CD4neg_CD8neg_aCD3_IFNg,CD4neg_CD8neg_p300_IFNg,CD4neg_CD8neg_media_IFNg,CD3neg_aCD3_IFNg,CD3neg_p300_IFNg,CD3neg_media_IFNg,CD4_aCD3_IL-2,CD4_p300_IL-2,CD4_media_IL-2,CD8_aCD3_IL-2,CD8_p300_IL-2,CD8_media_IL-2,CD4neg_CD8neg_aCD3_IL-2,CD4neg_CD8neg_p300_IL-2,CD4neg_CD8neg_media_IL-2,CD3neg_aCD3_IL-2,CD3neg_p300_IL-2,CD3neg_media_IL-2,CD4_aCD3_IL-4,CD4_p300_IL-4,CD4_media_IL-4,CD8_aCD3_IL-4,CD8_p300_IL-4,CD8_media_IL-4,CD4neg_CD8neg_aCD3_IL-4,CD4neg_CD8neg_p300_IL-4,CD4neg_CD8neg_media_IL-4,CD3neg_aCD3_IL-4,CD3neg_p300_IL-4,CD3neg_media_IL-4,CD4_aCD3_IL-10,CD4_p300_IL-10,CD4_media_IL-10,CD8_aCD3_IL-10,CD8_p300_IL-10,CD8_media_IL-10,CD4neg_CD8neg_aCD3_IL-10,CD4neg_CD8neg_p300_IL-10,CD4neg_CD8neg_media_IL-10,CD3neg_aCD3_IL-10,CD3neg_p300_IL-10,CD3neg_meda_IL-10,CD4_aCD3_IL-17a,CD4_p300_IL-17a,CD4_media_IL-17a,CD8_aCD3_IL-17a,CD8_p300_IL-17a,CD8_media_IL-17a,CD4neg_CD8neg_aCD3_IL-17a,CD4neg_CD8neg_p300_IL-17a,CD4neg_CD8neg_media_IL-17a,CD3neg_aCD3_IL-17a,CD3neg_p300_IL-17a,CD3neg_media_IL-17a,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD8_aCD3_TNF,CD8_p300_TNF,CD8_media_TNF,CD4neg_CD8neg_aCD3_TNF,CD4neg_CD8neg_p300_TNF,CD4neg_CD8neg_media_TNF,CD3neg_aCD3_TNF,CD3neg_p300_TNF,CD3neg_media_TNF
CC032,RL-03,UNC,1,0,6.093421685,4.819543936,26672268.91,3093983.193,2232468.908,216045.3782,213378.1513,8668487.395,0.418,0.392,0.608,0.611,0.0727,0.0805,0.248,0.263,0.607,0.621,0.142,0.0872,0.0757,0.336,0.157,0.186,,0.0789,0.111,,0.707,0.624,0.232,0.053,0.0202,0.29,0.129,0.0124,,0,0,,0.0845,0.0029,0.0257,0.006,0.0076,0.0076,0.0112,0.0041,,0.0016,0.0038,,0.0073,0.0055,0.0023,0.002,0.0049,0,0,0,,0.0033,0.0025,,0.0039,0.0052,0.0248,0.0054,0.006,0.0141,0.0562,0.0413,,0,0,,0.0138,0.0023,0.0299,0.0081,0.0065,0.0098,0.0225,0.0207,,0.0345,0.0468,,0.0183,0.0105,0.0566,0.0215,0.0185,0.052,0.073,0.0579,,0.0082,0.0038,,0.064,0.0224
CC032,RL-03,UNC,2,0,5.954242509,2.954242509,15882352.94,2239411.765,1620000,130235.2941,177882.3529,4558235.294,0.517,0.494,0.662,0.717,0.0676,0.0552,0.205,0.185,0.497,0.517,0.085,0.0669,0.0653,0.162,0.0884,0.105,,0.0544,0.0672,,0.553,0.462,0.135,0.0259,0.0114,0.152,0.0241,0.0039,,0,0.0012,,0.0325,0.0029,0.0223,0.0021,0.0021,0.0148,0.004,0.0078,,0,0.0012,,0.0062,0.0031,0,0.0008,0.0015,0,0.004,0.0078,,0.0053,0.0012,,0.004,0.0023,0.0091,0.0041,0.0036,0.0127,0.008,0.0078,,0,0,,0.0076,0.0002,0.0123,0.0053,0.0042,0.0084,0,0,,0.0305,0.0301,,0.0107,0.0033,0.0168,0.0152,0.0135,0.0169,0.0442,0.0233,,0.0053,0.0035,,0.0316,0.0121
CC032,RL-03,UNC,3,0,5.614193905,2.873126764,20420168.07,3451008.403,2613781.513,287924.3697,204201.6807,6861176.471,0.552,0.502,0.685,0.685,0.124,0.121,0.138,0.156,0.47,0.518,0.079,0.0395,0.035,0.255,0.0889,0.05,,0.0363,0.0759,,0.488,0.437,0.104,0.0135,0.0098,0.187,0.0444,0,,0.0018,0.0022,,0.0294,0.0036,0.0171,0.0055,0.0059,0.0064,0.0061,0.0083,,0.0036,0.0022,,0.0074,0.0075,0.0024,0.0007,0.001,0,0.004,0.0028,,0,0,,0.0018,0.001,0.0127,0.0029,0.0034,0.0149,0.0121,0.0028,,0,0,,0.0053,0.0007,0.0155,0.0018,0.0025,0.0085,0.0081,0,,0.0345,0.0325,,0.0056,0.002,0.0329,0.008,0.0034,0.0447,0.0364,0.0222,,0.0036,0.0043,,0.03,0.0088
CC032,RL-03,UNC,4,0,6.260071388,3.276461804,19820168.07,1429034.118,965242.1849,83244.70588,166489.4118,4598278.992,0.467,0.434,0.518,0.555,0.0802,0.0697,0.332,0.324,0.546,0.581,0.152,0.118,0.148,0.289,0.182,0.205,,0.0711,0.0952,,0.695,0.68,0.125,0.0203,0.0044,0.283,0.125,0.0737,,0,0,,0.0153,0.0087,0.0182,0.0046,0.0008,0.0042,0,0.0032,,0.0007,0.0007,,0.0047,0.0012,0.002,0.0028,0.0024,0.0035,0.006,0.0128,,0.0022,0.0007,,0.0027,0.0033,0.0097,0.0065,0.0032,0.0148,0.0357,0.0192,,0.0014,0.0041,,0.0014,0,0.0115,0.0078,0.0028,0.0106,0.0149,0.0064,,0.0467,0.0469,,0.0067,0.0062,0.0188,0.0184,0.0032,0.0422,0.0655,0.016,,0.0287,0.0166,,0.0226,0.0088
CC032,RL-03,UNC,5,0,6.63748973,4.857332496,27418487.39,2878941.176,1872682.689,222089.7479,241282.6891,7128806.723,0.581,0.606,0.602,0.643,0.0851,0.102,0.251,0.209,0.436,0.414,0.0938,0.0993,0.0983,0.215,0.207,0.125,,0.0681,0.0753,,0.577,0.523,0.156,0.0452,0.0071,0.208,0.14,0.0538,,0,0,,0.0459,0.0109,0.0064,0.0401,0.0014,0,0.0579,0,,0.0159,0.0021,,0.0338,0.0022,0,0.0004,0,0,0.0055,0.0022,,0.0019,0.0021,,0.0028,0.0048,0.0048,0.0097,0.0014,0.0134,0.0441,0.0108,,0.0009,0.001,,0.0059,0,0.0095,0.009,0.0024,0.0067,0.011,0.0022,,0.0457,0.0262,,0.0072,0.0058,0.0095,0.0226,0.0003,0.0134,0.0606,0,,0.0037,0.001,,0.0444,0.0038
CC032,RL-03,UNC,6,1,5.29666519,3.290034611,27544537.82,2974810.084,2198054.118,148740.5042,239637.479,8896885.714,0.521,0.531,0.593,0.6,0.0784,0.0826,0.276,0.263,0.502,0.485,0.0916,0.0961,0.0784,0.2,0.0849,0.0597,,0.0557,0.0572,,0.791,0.631,0.0856,0.0221,0.0017,0.103,0.0133,0.0157,,0,0,,0.0091,0.0014,0.0214,0.0049,0.0004,0.0037,0.0027,0,,0.003,0,,0.0045,0.0006,0.0009,0.0004,0.0004,0.0025,0,0.0031,,0.0015,0.001,,0.0002,0.0009,0.0124,0.006,0.0009,0.0111,0.0186,0.0031,,0.0008,0.001,,0.0019,0,0.0128,0.006,0.0013,0.0136,0.008,0,,0.0271,0.0316,,0.0035,0.0009,0.0241,0.0126,0.0004,0.0371,0.0212,0,,0.003,0.001,,0.0181,0.0011
CC032,RL-03,UNC,7,1,5.037426498,3.15330662,28477310.92,4243119.328,3189458.824,316098.1513,361661.8487,10935287.39,0.479,0.487,0.665,0.671,0.088,0.0873,0.201,0.2,0.539,0.525,0.11,0.0533,0.0584,0.311,0.076,0.0809,,0.0764,0.0641,,0.616,0.513,0.162,0.0302,0.001,0.138,0.0266,0.011,,0.0017,0.0016,,0.0163,0.0021,0.031,0.0055,0.001,0.0025,0.0038,0,,0,0,,0.0045,0.0015,0,0.0005,0,0.0049,0,0,,0.0033,0,,0.0006,0.0009,0.0224,0.0055,0.0029,0.0198,0.0038,0.0147,,0,0.0016,,0.0042,0,0.0269,0.007,0.0043,0.0123,0,0.0074,,0.0465,0.0481,,0.0033,0.0069,0.0522,0.0186,0.001,0.0568,0.0418,0,,0.0066,0,,0.0214,0.0009
CC032,RL-03,UNC,8,1,4.643452676,2.956648579,18050420.17,3086621.849,2220201.681,306857.1429,364618.4874,6028840.336,0.481,0.471,0.604,0.633,0.0998,0.0874,0.252,0.243,0.546,0.549,0.0927,0.0569,0.0957,0.28,0.0708,0.118,,0.0916,0.104,,0.596,0.544,0.104,0.021,0.0018,0.158,0.0283,0.0175,,0,0,,0.0141,0.003,0.0306,0.0016,0.0018,0.0072,0.0047,0.0088,,0.0019,0.0047,,0.0066,0.0026,0.0006,0.0008,0.0018,0.0012,0,0.0044,,0,0.0016,,0,0.0003,0.0223,0.0023,0.0012,0.0228,0.0189,0.0132,,0.0019,0.0016,,0.0033,0,0.0399,0.0039,0.0036,0.0132,0.0047,0.0044,,0.0411,0.0583,,0.005,0.0013,0.0442,0.0055,0.0018,0.0552,0.033,0.0044,,0.0093,0.0031,,0.0216,0.0046
CC032,RL-03,UNC,9,1,4.643452676,1.812913357,19184873.95,2110336.134,1669084.034,132375.6303,161152.9412,5218285.714,0.464,0.421,0.614,0.664,0.0888,0.045,0.246,0.25,0.548,0.59,0.104,0.0856,0.0838,0.221,0.0867,0.157,,0.0793,0.12,,0.632,0.553,0.0877,0.0151,0.0033,0.1,0.023,0,,0,0,,0.0059,0.0019,0.0269,0.0048,0.004,0.0058,0.0026,0.0098,,0.0009,0.0106,,0.0063,0.0079,0.0002,0.0033,0.002,0.0029,0.0026,0,,0.0009,0,,0.0002,0.0006,0.0135,0.0074,0.002,0.0088,0.0153,0.0294,,0,0,,0.001,0.0009,0.0162,0.0052,0.0047,0.0117,0.0102,0.0098,,0.0323,0.0653,,0.0046,0.0038,0.0304,0.0144,0.008,0.039,0.0255,0,,0.0083,0,,0.0157,0.0107
CC032,RL-03,UNC,10,1,5.127104798,2.290034611,23672268.91,1174144.538,639151.2605,33141.17647,298270.5882,9326873.95,0.314,0.342,0.351,0.38,0.0357,0.016,0.518,0.532,0.705,0.683,0.276,0.182,0.211,0.387,0.237,0.217,,0.0642,0.104,,0.652,0.648,0.375,0.0946,0.0165,0.271,0.0321,0.0435,,0,0,,0.0158,0.0023,0.0586,0.0183,0.0073,0.0137,0.0064,0,,0.0018,0.0039,,0.0099,0.0045,0.0045,0.0085,0.0027,0,0.0064,0,,0.0004,0.0007,,0.0006,0.0005,0.0558,0.0398,0.0174,0.0364,0.0256,0.087,,0.0004,0.0007,,0.0028,0.0007,0.0688,0.0359,0.0192,0.0228,0.0064,0,,0.0571,0.0385,,0.009,0.004,0.119,0.0835,0.054,0.0957,0.0833,0.109,,0.0084,0.0052,,0.0253,0.0207
