Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD4_Tbet,CD4_Foxp3,CD4_RoRgt,CD4_Tbet_RoRgt,CD4_CD11a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media3_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media3_IFNg,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD4_aCD3_IL2,CD4_p300_IL2,CD4_media_IL2,CD4_aCD3_IL17,CD4_p300_IL17,CD4_media_IL17,CD4_aCD3_IFNg_IL17,CD4_p300_IFNg_IL17,CD4_media_IFNg_IL17,CD4_aCD3_IFNg_TNF_IL2,CD4_p300_IFNg_TNF_IL2,CD4_media_IFNg_TNF_IL2,CD4_aCD3_TNF_IL2,CD4_p300_TNF_IL2,CD4_media_TNF_IL2
CC032,RL-03,UNC,1,0,6.093421685,4.819543936,26672268.91,0.259,0.713,0.0687,0.0295,0.717,0.287,0.0297,0.0085,0.0033,0.22,0.232,0.053,0.0202,0.29,0.129,0.0124,0.0566,0.0215,0.0185,0.0257,0.006,0.0076,0.0299,0.0081,0.0065,0.0117,0.002,0,0.0094,0.002,0,0.0196,0.004,0.0016
CC032,RL-03,UNC,2,0,5.954242509,2.954242509,15882352.94,0.325,0.714,0.0577,0.034,0.656,0.228,0.0346,0.0151,0.0023,0.268,0.135,0.0259,0.0114,0.152,0.0241,0.0039,0.0168,0.0152,0.0135,0.0223,0.0021,0.0021,0.0123,0.0053,0.0042,0.0036,0.0004,0,0.0059,0.0004,0,0.0114,0.0012,0.0006
CC032,RL-03,UNC,3,0,5.614193905,2.873126764,20420168.07,0.329,0.754,0.0828,0.0277,0.65,0.135,0.0156,0.0087,0.001,0.14,0.104,0.0135,0.0098,0.187,0.0444,0,0.0329,0.008,0.0034,0.0171,0.0055,0.0059,0.0155,0.0018,0.0025,0.0067,0,0,0.0036,0.0007,0,0.0111,0.0022,0.001
CC032,RL-03,UNC,4,0,6.260071388,3.276461804,19820168.07,0.233,0.67,0.0577,0.0573,0.745,0.194,0.0497,0.0108,0.0033,0.316,0.125,0.0203,0.0044,0.283,0.125,0.0737,0.0188,0.0184,0.0032,0.0182,0.0046,0.0008,0.0115,0.0078,0.0028,0.0028,0.0005,0,0.0044,0.0023,0,0.0107,0.0028,0
CC032,RL-03,UNC,5,0,6.63748973,4.857332496,27418487.39,0.281,0.649,0.0771,0.0416,0.696,0.29,0.0445,0.0187,0.0055,0.258,0.156,0.0452,0.0071,0.208,0.14,0.0538,0.0095,0.0226,0.0003,0.0064,0.0401,0.0014,0.0095,0.009,0.0024,0.0048,0.0019,0,0,0.0012,0,0.0048,0.0047,0.0003
CC032,RL-03,UNC,6,1,5.29666519,3.290034611,27544537.82,0.246,0.737,0.0496,0.0418,0.735,0.124,0.0501,0.0123,0.003,0.169,0.0856,0.0221,0.0017,0.103,0.0133,0.0157,0.0241,0.0126,0.0004,0.0214,0.0049,0.0004,0.0128,0.006,0.0013,0.0033,0.0014,0,0.0051,0.0004,0,0.015,0.0011,0
CC032,RL-03,UNC,7,1,5.037426498,3.15330662,28477310.92,0.276,0.751,0.0744,0.0478,0.708,0.175,0.0313,0.0163,0.0021,0.246,0.162,0.0302,0.001,0.138,0.0266,0.011,0.0522,0.0186,0.001,0.031,0.0055,0.001,0.0269,0.007,0.0043,0.0115,0.001,0,0.012,0.0015,0,0.0269,0.0045,0
CC032,RL-03,UNC,8,1,4.643452676,2.956648579,18050420.17,0.332,0.717,0.0988,0.0751,0.644,0.121,0.0398,0.0358,0.0067,0.441,0.104,0.021,0.0018,0.158,0.0283,0.0175,0.0442,0.0055,0.0018,0.0306,0.0016,0.0018,0.0399,0.0039,0.0036,0.0105,0,0.0006,0.0105,0.0016,0,0.0247,0.0016,0
CC032,RL-03,UNC,9,1,4.643452676,1.812913357,19184873.95,0.284,0.786,0.062,0.042,0.699,0.127,0.0341,0.013,0.0028,0.161,0.0877,0.0151,0.0033,0.1,0.023,0,0.0304,0.0144,0.008,0.0269,0.0048,0.004,0.0162,0.0052,0.0047,0.0069,0.0011,0,0.0104,0.0007,0,0.0189,0.0015,0.0007
CC032,RL-03,UNC,10,1,5.127104798,2.290034611,23672268.91,0.111,0.536,0.0286,0.127,0.873,0.361,0.0941,0.0399,0.01,0.298,0.375,0.0946,0.0165,0.271,0.0321,0.0435,0.119,0.0835,0.054,0.0586,0.0183,0.0073,0.0688,0.0359,0.0192,0.0338,0.0072,0,0.0282,0.0098,0,0.0524,0.0176,0.0037
